shards in the file:	1
""
\	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
1	100.0%	50.0%	33.3333333333%	25.0%	20.0%	16.6666666667%	14.2857142857%	12.5%	11.1111111111%	10.0%	9.09090909091%	8.33333333333%	7.69230769231%	7.14285714286%	6.66666666667%	6.25%	5.88235294118%	5.55555555556%	5.26315789474%	5.0%	4.7619047619%	4.54545454545%	4.34782608696%	4.16666666667%	4.0%	3.84615384615%	3.7037037037%	3.57142857143%	3.44827586207%	3.33333333333%	3.22580645161%	3.125%	3.0303030303%	2.94117647059%	2.85714285714%	2.77777777778%	2.7027027027%	2.63157894737%	2.5641025641%	2.5%	2.43902439024%	2.38095238095%	2.32558139535%	2.27272727273%	2.22222222222%	2.17391304348%	2.12765957447%	2.08333333333%	2.04081632653%	2.0%	1.96078431373%	1.92307692308%	1.88679245283%	1.85185185185%	1.81818181818%	1.78571428571%	1.75438596491%	1.72413793103%	1.69491525424%	1.66666666667%	1.6393442623%	1.61290322581%	1.5873015873%	1.5625%	1.53846153846%	1.51515151515%	1.49253731343%	1.47058823529%	1.44927536232%	1.42857142857%	1.40845070423%	1.38888888889%	1.3698630137%	1.35135135135%	1.33333333333%	1.31578947368%	1.2987012987%	1.28205128205%	1.26582278481%	1.25%	1.23456790123%	1.21951219512%	1.20481927711%	1.19047619048%	1.17647058824%	1.16279069767%	1.14942528736%	1.13636363636%	1.12359550562%	1.11111111111%	1.0989010989%	1.08695652174%	1.0752688172%	1.06382978723%	1.05263157895%	1.04166666667%	1.03092783505%	1.02040816327%	1.0101010101%
2	-	100.0%	66.6666666667%	50.0%	40.0%	33.3333333333%	28.5714285714%	25.0%	22.2222222222%	20.0%	18.1818181818%	16.6666666667%	15.3846153846%	14.2857142857%	13.3333333333%	12.5%	11.7647058824%	11.1111111111%	10.5263157895%	10.0%	9.52380952381%	9.09090909091%	8.69565217391%	8.33333333333%	8.0%	7.69230769231%	7.40740740741%	7.14285714286%	6.89655172414%	6.66666666667%	6.45161290323%	6.25%	6.06060606061%	5.88235294118%	5.71428571429%	5.55555555556%	5.40540540541%	5.26315789474%	5.12820512821%	5.0%	4.87804878049%	4.7619047619%	4.6511627907%	4.54545454545%	4.44444444444%	4.34782608696%	4.25531914894%	4.16666666667%	4.08163265306%	4.0%	3.92156862745%	3.84615384615%	3.77358490566%	3.7037037037%	3.63636363636%	3.57142857143%	3.50877192982%	3.44827586207%	3.38983050847%	3.33333333333%	3.27868852459%	3.22580645161%	3.1746031746%	3.125%	3.07692307692%	3.0303030303%	2.98507462687%	2.94117647059%	2.89855072464%	2.85714285714%	2.81690140845%	2.77777777778%	2.7397260274%	2.7027027027%	2.66666666667%	2.63157894737%	2.5974025974%	2.5641025641%	2.53164556962%	2.5%	2.46913580247%	2.43902439024%	2.40963855422%	2.38095238095%	2.35294117647%	2.32558139535%	2.29885057471%	2.27272727273%	2.24719101124%	2.22222222222%	2.1978021978%	2.17391304348%	2.15053763441%	2.12765957447%	2.10526315789%	2.08333333333%	2.0618556701%	2.04081632653%	2.0202020202%
3	-	-	100.0%	75.0%	60.0%	50.0%	42.8571428571%	37.5%	33.3333333333%	30.0%	27.2727272727%	25.0%	23.0769230769%	21.4285714286%	20.0%	18.75%	17.6470588235%	16.6666666667%	15.7894736842%	15.0%	14.2857142857%	13.6363636364%	13.0434782609%	12.5%	12.0%	11.5384615385%	11.1111111111%	10.7142857143%	10.3448275862%	10.0%	9.67741935484%	9.375%	9.09090909091%	8.82352941176%	8.57142857143%	8.33333333333%	8.10810810811%	7.89473684211%	7.69230769231%	7.5%	7.31707317073%	7.14285714286%	6.97674418605%	6.81818181818%	6.66666666667%	6.52173913043%	6.3829787234%	6.25%	6.12244897959%	6.0%	5.88235294118%	5.76923076923%	5.66037735849%	5.55555555556%	5.45454545455%	5.35714285714%	5.26315789474%	5.1724137931%	5.08474576271%	5.0%	4.91803278689%	4.83870967742%	4.7619047619%	4.6875%	4.61538461538%	4.54545454545%	4.4776119403%	4.41176470588%	4.34782608696%	4.28571428571%	4.22535211268%	4.16666666667%	4.1095890411%	4.05405405405%	4.0%	3.94736842105%	3.8961038961%	3.84615384615%	3.79746835443%	3.75%	3.7037037037%	3.65853658537%	3.61445783133%	3.57142857143%	3.52941176471%	3.48837209302%	3.44827586207%	3.40909090909%	3.37078651685%	3.33333333333%	3.2967032967%	3.26086956522%	3.22580645161%	3.1914893617%	3.15789473684%	3.125%	3.09278350515%	3.0612244898%	3.0303030303%
4	-	-	-	100.0%	80.0%	66.6666666667%	57.1428571429%	50.0%	44.4444444444%	40.0%	36.3636363636%	33.3333333333%	30.7692307692%	28.5714285714%	26.6666666667%	25.0%	23.5294117647%	22.2222222222%	21.0526315789%	20.0%	19.0476190476%	18.1818181818%	17.3913043478%	16.6666666667%	16.0%	15.3846153846%	14.8148148148%	14.2857142857%	13.7931034483%	13.3333333333%	12.9032258065%	12.5%	12.1212121212%	11.7647058824%	11.4285714286%	11.1111111111%	10.8108108108%	10.5263157895%	10.2564102564%	10.0%	9.75609756098%	9.52380952381%	9.3023255814%	9.09090909091%	8.88888888889%	8.69565217391%	8.51063829787%	8.33333333333%	8.16326530612%	8.0%	7.8431372549%	7.69230769231%	7.54716981132%	7.40740740741%	7.27272727273%	7.14285714286%	7.01754385965%	6.89655172414%	6.77966101695%	6.66666666667%	6.55737704918%	6.45161290323%	6.34920634921%	6.25%	6.15384615385%	6.06060606061%	5.97014925373%	5.88235294118%	5.79710144928%	5.71428571429%	5.6338028169%	5.55555555556%	5.47945205479%	5.40540540541%	5.33333333333%	5.26315789474%	5.19480519481%	5.12820512821%	5.06329113924%	5.0%	4.93827160494%	4.87804878049%	4.81927710843%	4.7619047619%	4.70588235294%	4.6511627907%	4.59770114943%	4.54545454545%	4.49438202247%	4.44444444444%	4.3956043956%	4.34782608696%	4.30107526882%	4.25531914894%	4.21052631579%	4.16666666667%	4.12371134021%	4.08163265306%	4.0404040404%
5	-	-	-	-	100.0%	83.3333333333%	71.4285714286%	62.5%	55.5555555556%	50.0%	45.4545454545%	41.6666666667%	38.4615384615%	35.7142857143%	33.3333333333%	31.25%	29.4117647059%	27.7777777778%	26.3157894737%	25.0%	23.8095238095%	22.7272727273%	21.7391304348%	20.8333333333%	20.0%	19.2307692308%	18.5185185185%	17.8571428571%	17.2413793103%	16.6666666667%	16.1290322581%	15.625%	15.1515151515%	14.7058823529%	14.2857142857%	13.8888888889%	13.5135135135%	13.1578947368%	12.8205128205%	12.5%	12.1951219512%	11.9047619048%	11.6279069767%	11.3636363636%	11.1111111111%	10.8695652174%	10.6382978723%	10.4166666667%	10.2040816327%	10.0%	9.80392156863%	9.61538461538%	9.43396226415%	9.25925925926%	9.09090909091%	8.92857142857%	8.77192982456%	8.62068965517%	8.47457627119%	8.33333333333%	8.19672131148%	8.06451612903%	7.93650793651%	7.8125%	7.69230769231%	7.57575757576%	7.46268656716%	7.35294117647%	7.24637681159%	7.14285714286%	7.04225352113%	6.94444444444%	6.84931506849%	6.75675675676%	6.66666666667%	6.57894736842%	6.49350649351%	6.41025641026%	6.32911392405%	6.25%	6.17283950617%	6.09756097561%	6.02409638554%	5.95238095238%	5.88235294118%	5.81395348837%	5.74712643678%	5.68181818182%	5.61797752809%	5.55555555556%	5.49450549451%	5.4347826087%	5.37634408602%	5.31914893617%	5.26315789474%	5.20833333333%	5.15463917526%	5.10204081633%	5.05050505051%
6	-	-	-	-	-	100.0%	85.7142857143%	75.0%	66.6666666667%	60.0%	54.5454545455%	50.0%	46.1538461538%	42.8571428571%	40.0%	37.5%	35.2941176471%	33.3333333333%	31.5789473684%	30.0%	28.5714285714%	27.2727272727%	26.0869565217%	25.0%	24.0%	23.0769230769%	22.2222222222%	21.4285714286%	20.6896551724%	20.0%	19.3548387097%	18.75%	18.1818181818%	17.6470588235%	17.1428571429%	16.6666666667%	16.2162162162%	15.7894736842%	15.3846153846%	15.0%	14.6341463415%	14.2857142857%	13.9534883721%	13.6363636364%	13.3333333333%	13.0434782609%	12.7659574468%	12.5%	12.2448979592%	12.0%	11.7647058824%	11.5384615385%	11.320754717%	11.1111111111%	10.9090909091%	10.7142857143%	10.5263157895%	10.3448275862%	10.1694915254%	10.0%	9.83606557377%	9.67741935484%	9.52380952381%	9.375%	9.23076923077%	9.09090909091%	8.9552238806%	8.82352941176%	8.69565217391%	8.57142857143%	8.45070422535%	8.33333333333%	8.21917808219%	8.10810810811%	8.0%	7.89473684211%	7.79220779221%	7.69230769231%	7.59493670886%	7.5%	7.40740740741%	7.31707317073%	7.22891566265%	7.14285714286%	7.05882352941%	6.97674418605%	6.89655172414%	6.81818181818%	6.74157303371%	6.66666666667%	6.59340659341%	6.52173913043%	6.45161290323%	6.3829787234%	6.31578947368%	6.25%	6.18556701031%	6.12244897959%	6.06060606061%
7	-	-	-	-	-	-	100.0%	87.5%	77.7777777778%	70.0%	63.6363636364%	58.3333333333%	53.8461538462%	50.0%	46.6666666667%	43.75%	41.1764705882%	38.8888888889%	36.8421052632%	35.0%	33.3333333333%	31.8181818182%	30.4347826087%	29.1666666667%	28.0%	26.9230769231%	25.9259259259%	25.0%	24.1379310345%	23.3333333333%	22.5806451613%	21.875%	21.2121212121%	20.5882352941%	20.0%	19.4444444444%	18.9189189189%	18.4210526316%	17.9487179487%	17.5%	17.0731707317%	16.6666666667%	16.2790697674%	15.9090909091%	15.5555555556%	15.2173913043%	14.8936170213%	14.5833333333%	14.2857142857%	14.0%	13.7254901961%	13.4615384615%	13.2075471698%	12.962962963%	12.7272727273%	12.5%	12.2807017544%	12.0689655172%	11.8644067797%	11.6666666667%	11.4754098361%	11.2903225806%	11.1111111111%	10.9375%	10.7692307692%	10.6060606061%	10.447761194%	10.2941176471%	10.1449275362%	10.0%	9.85915492958%	9.72222222222%	9.58904109589%	9.45945945946%	9.33333333333%	9.21052631579%	9.09090909091%	8.97435897436%	8.86075949367%	8.75%	8.64197530864%	8.53658536585%	8.43373493976%	8.33333333333%	8.23529411765%	8.13953488372%	8.04597701149%	7.95454545455%	7.86516853933%	7.77777777778%	7.69230769231%	7.60869565217%	7.52688172043%	7.44680851064%	7.36842105263%	7.29166666667%	7.21649484536%	7.14285714286%	7.07070707071%
8	-	-	-	-	-	-	-	100.0%	88.8888888889%	80.0%	72.7272727273%	66.6666666667%	61.5384615385%	57.1428571429%	53.3333333333%	50.0%	47.0588235294%	44.4444444444%	42.1052631579%	40.0%	38.0952380952%	36.3636363636%	34.7826086957%	33.3333333333%	32.0%	30.7692307692%	29.6296296296%	28.5714285714%	27.5862068966%	26.6666666667%	25.8064516129%	25.0%	24.2424242424%	23.5294117647%	22.8571428571%	22.2222222222%	21.6216216216%	21.0526315789%	20.5128205128%	20.0%	19.512195122%	19.0476190476%	18.6046511628%	18.1818181818%	17.7777777778%	17.3913043478%	17.0212765957%	16.6666666667%	16.3265306122%	16.0%	15.6862745098%	15.3846153846%	15.0943396226%	14.8148148148%	14.5454545455%	14.2857142857%	14.0350877193%	13.7931034483%	13.5593220339%	13.3333333333%	13.1147540984%	12.9032258065%	12.6984126984%	12.5%	12.3076923077%	12.1212121212%	11.9402985075%	11.7647058824%	11.5942028986%	11.4285714286%	11.2676056338%	11.1111111111%	10.9589041096%	10.8108108108%	10.6666666667%	10.5263157895%	10.3896103896%	10.2564102564%	10.1265822785%	10.0%	9.87654320988%	9.75609756098%	9.63855421687%	9.52380952381%	9.41176470588%	9.3023255814%	9.19540229885%	9.09090909091%	8.98876404494%	8.88888888889%	8.79120879121%	8.69565217391%	8.60215053763%	8.51063829787%	8.42105263158%	8.33333333333%	8.24742268041%	8.16326530612%	8.08080808081%
9	-	-	-	-	-	-	-	-	100.0%	90.0%	81.8181818182%	75.0%	69.2307692308%	64.2857142857%	60.0%	56.25%	52.9411764706%	50.0%	47.3684210526%	45.0%	42.8571428571%	40.9090909091%	39.1304347826%	37.5%	36.0%	34.6153846154%	33.3333333333%	32.1428571429%	31.0344827586%	30.0%	29.0322580645%	28.125%	27.2727272727%	26.4705882353%	25.7142857143%	25.0%	24.3243243243%	23.6842105263%	23.0769230769%	22.5%	21.9512195122%	21.4285714286%	20.9302325581%	20.4545454545%	20.0%	19.5652173913%	19.1489361702%	18.75%	18.3673469388%	18.0%	17.6470588235%	17.3076923077%	16.9811320755%	16.6666666667%	16.3636363636%	16.0714285714%	15.7894736842%	15.5172413793%	15.2542372881%	15.0%	14.7540983607%	14.5161290323%	14.2857142857%	14.0625%	13.8461538462%	13.6363636364%	13.4328358209%	13.2352941176%	13.0434782609%	12.8571428571%	12.676056338%	12.5%	12.3287671233%	12.1621621622%	12.0%	11.8421052632%	11.6883116883%	11.5384615385%	11.3924050633%	11.25%	11.1111111111%	10.9756097561%	10.843373494%	10.7142857143%	10.5882352941%	10.4651162791%	10.3448275862%	10.2272727273%	10.1123595506%	10.0%	9.89010989011%	9.78260869565%	9.67741935484%	9.57446808511%	9.47368421053%	9.375%	9.27835051546%	9.18367346939%	9.09090909091%
10	-	-	-	-	-	-	-	-	-	100.0%	90.9090909091%	83.3333333333%	76.9230769231%	71.4285714286%	66.6666666667%	62.5%	58.8235294118%	55.5555555556%	52.6315789474%	50.0%	47.619047619%	45.4545454545%	43.4782608696%	41.6666666667%	40.0%	38.4615384615%	37.037037037%	35.7142857143%	34.4827586207%	33.3333333333%	32.2580645161%	31.25%	30.303030303%	29.4117647059%	28.5714285714%	27.7777777778%	27.027027027%	26.3157894737%	25.641025641%	25.0%	24.3902439024%	23.8095238095%	23.2558139535%	22.7272727273%	22.2222222222%	21.7391304348%	21.2765957447%	20.8333333333%	20.4081632653%	20.0%	19.6078431373%	19.2307692308%	18.8679245283%	18.5185185185%	18.1818181818%	17.8571428571%	17.5438596491%	17.2413793103%	16.9491525424%	16.6666666667%	16.393442623%	16.1290322581%	15.873015873%	15.625%	15.3846153846%	15.1515151515%	14.9253731343%	14.7058823529%	14.4927536232%	14.2857142857%	14.0845070423%	13.8888888889%	13.698630137%	13.5135135135%	13.3333333333%	13.1578947368%	12.987012987%	12.8205128205%	12.6582278481%	12.5%	12.3456790123%	12.1951219512%	12.0481927711%	11.9047619048%	11.7647058824%	11.6279069767%	11.4942528736%	11.3636363636%	11.2359550562%	11.1111111111%	10.989010989%	10.8695652174%	10.752688172%	10.6382978723%	10.5263157895%	10.4166666667%	10.3092783505%	10.2040816327%	10.101010101%
